KIT Items,Description,Quantity,Unit Price ($),Total Price ($),Link
,,,,, 
SEEED Studios XIAO RP2040,Microcontroller,1,6.57,6.57,https://robu.in/product/seeed-studio-xiao-rp2040-v1-0/
Cherry MX Switches,Switches,10,0.399,3.99 (MOQ 10),https://meckeys.com/shop/accessories/keyboard-accessories/key-switches/cherry-mx-rgb-switch/
Blank Cherry MX-Style Keycaps,Keycaps,5,0.212,1.06 (MOQ 5),https://meckeys.com/shop/accessories/keyboard-accessories/keycaps/blank-dsa-keycaps-1u/
Alps EC-11 Rotary Encoder,Knob,1,1.28,1.28,https://roboticsdna.in/product/rotary-encoder-module-for-arduino-brick-sensor-development-round-audio-rotating-potentiometer-knob-cap-ec11/
M3x16mm Screws,Case Screws,1,2.99,2.99,https://www.amazon.in/Immech-Socket-Stainless-Machine-Quantity/dp/B07XYRXMML
M3x5x4mm Heat-Set Inserts,Case Screw Inserts,1,0.95,0.95,https://robu.in/product/m3-x-4-mm-brass-heat-set-knurl-threaded-round-insert-nut-25-pcs/
,,,,,
FINAL PRICE FOR KIT ITEMS:,$16.84,(COMES WITH THE KIT!!!),,,
,,,,,
CASE Items,Description,Quantity,Unit Price ($),Total Price ($),URL
,,,,,
3D-printed case (SELF-PROVIDED),Approx. 156g of PLA,1,1.76,1.76,
,,,,,
LionCircuits,PCB for Hackpad,5,9.00,9.00 (MOQ 5),https://order.lioncircuits.com/projectdetails/212426/quotation
,,,,,
CASE ITEMS SUBTOTAL:,$10.76,,,,
,,,,,
FINAL PRICE FOR GRANT:,$16.84,,,,
